NewsID,Company,Year,Circ,City,State
166,waterloo-cedar falls courier,2000,E,waterloo,ia
167,the coffeyville journal,1998,G,coffeyville,ks
168,the emporia gazette,1997,F,emporia,ks
169,the hutchinson news,1998,E,hutchinson,ks
170,lawrence journal-world,2000,F,lawrence,ks
171,the manhattan mercury,1997,F,manhattan,ks
172,the olathe daily news,1999,G,olathe,ks
173,the ottawa herald,1998,G,ottawa,ks
174,parsons sun,1997,G,parsons,ks
176,the topeka capital-journal,1997,D,topeka,ks
177,the wichita eagle,1997,C,wichita,ks
179,kypost.com,2010,O,cincinnati,oh
181,lexington herald-leader,1997,C,lexington,ky
183,the courier-journal,1994,C,louisville,ky
184,borger news-herald,2002,H,borger,tx
185,messenger inquirer,2001,E,owensboro,ky
187,the paducah sun,1998,E,paducah,ky
188,the town talk,2005,E,alexandria,la
189,american press,2000,E,lake charles,la
190,the news-star,1994,E,monroe,la
192,the times-picayune,1994,B,new orleans,la
194,the times,1994,D,shreveport,la
196,bangor daily news,1997,D,bangor,me
197,the capital,1994,E,annapolis,md
199,the sun,1994,B,baltimore,md
200,the herald-mail,1998,E,hagerstown,md
201,the daily mail/morning herald,1994,E,hagerstown,md
202,the boston globe,2014,B,dorchester,ma
203,boston herald,1997,B,boston,ma
204,the christian science monitor,1994,C,boston,ma
205,gloucester daily times,2012,G,gloucester,ma
207,cape cod times,1997,E,hyannis,ma
208,the sun,1994,D,lowell,ma
210,the daily news of newburyport,1998,F,newburyport,ma
211,north adams transcript,1998,G,north adams,ma
212,the patriot ledger/the enterprise,2013,E,quincy,ma
213,the salem news,2003,E,beverly,ma
214,the southbridge evening news,2001,G,southbridge,ma
216,the republican,2004,D,springfield,ma
218,waltham news-tribune,1997,G,waltham,ma
219,telegram & gazette,1998,C,worcester,ma
221,the ann arbor news,1997,D,ann arbor,mi
222,battle creek enquirer,1998,E,battle creek,mi
224,the bay city times,1997,E,bay city,mi
225,detroit free press,1997,A,detroit,mi
226,the detroit news,1997,B,detroit,mi
227,the flint journal,1997,C,flint,mi
228,the grand rapids press,1997,C,grand rapids,mi
229,the holland sentinel,1997,F,holland,mi
230,the jackson citizen patriot,2000,E,jackson,mi
231,kalamazoo gazette,1997,D,kalamazoo,mi
232,the monroe evening news,1998,F,monroe,mi
233,the muskegon chronicle,1997,E,muskegon,mi
234,the oakland press,1994,D,pontiac,mi
235,traverse city record-eagle,1998,E,traverse city,mi
236,duluth news tribune,2003,E,duluth,mn
238,the free press,1994,E,mankato,mn
240,minneapolis star tribune,2013,B,minneapolis,mn
242,post-bulletin,1998,E,rochester,mn
243,st. paul pioneer press,2002,C,st. paul,mn
245,winona daily news,1998,F,winona,mn
247,the sun herald,1994,E,biloxi,ms
248,the greenwood commonwealth,1997,G,greenwood,ms
249,the clarion-ledger,1994,C,jackson,ms
251,enterprise-journal,1997,F,mccomb,ms
252,the natchez democrat,1998,F,natchez,ms
253,columbia daily tribune,1998,F,columbia,mo
254,the joplin globe,2000,E,joplin,mo
255,the kansas city star,1997,B,kansas city,mo
257,mexico ledger,2001,G,mexico,mo
258,springfield news-leader,1997,D,springfield,mo
260,st. joseph news-press,1997,E,st. joseph,mo
263,st. louis post dispatch,2014,B,st. louis,mo
265,billings gazette,1999,D,billings,mt
266,great falls tribune,1998,E,great falls,mt
267,the livingston enterprise,2005,H,livingston,mt
268,missoulian,1998,E,missoula,mt
269,the journal star,1996,E,lincoln,ne
270,lincoln journal star,1997,E,lincoln,ne
271,omaha world-herald,1997,C,omaha,ne
272,star-herald,1998,F,scottsbluff,ne
273,las vegas review-journal,2011,C,las vegas,nv
275,reno gazette-journal,1997,D,reno,nv
276,concord monitor,1997,F,concord,nh
277,the keene sentinel,1998,F,keene,nh
278,valley news,2001,F,white river junction,vt
279,the press of atlantic city,1997,D,pleasantville,nj
280,the courier news,2010,E,somerville,nj
282,the record,2010,C,woodland park,nj
283,the jersey journal,1994,D,jersey city,nj
284,the star-ledger,1994,B,newark,nj
285,home news tribune,1998,D,east brunswick,nj
286,herald news,2003,E,west paterson,nj
288,the trentonian,1995,D,trenton,nj
289,the daily journal,1994,F,vineland,nj
290,albuquerque journal,1997,C,albuquerque,nm
291,new york post,1997,B,new york,ny
292,the new york times,1997,A,new york,ny
293,the wall street journal,1994,A,new york,ny
294,oneonta daily star,1997,F,oneonta,ny
295,rochester democrat and chronicle,1999,C,rochester,ny
296,the daily gazette,2010,E,schenectady,ny
297,the post-standard,2003,C,syracuse,ny
298,syracuse newspapers,1995,C,syracuse,ny
299,observer-dispatch,1997,D,utica,ny
301,watertown daily times/the journal and courier-observer,2012,F,watertown,ny
302,the journal news,1999,C,white plains,ny
303,asheville citizen-times,1997,D,asheville,nc
305,times-news,1998,E,burlington,nc
306,the charlotte observer,1997,C,charlotte,nc
308,the fayetteville observer,2000,D,fayetteville,nc
309,news & record,1997,C,greensboro,nc
311,henderson daily dispatch,2002,G,henderson,nc
312,times-news,1997,F,hendersonville,nc
313,high point enterprise,1997,E,high point,nc
314,the news herald,1995,F,morganton,nc
315,the news & observer,1994,C,raleigh,nc
318,the shelby star,1998,F,shelby,nc
319,washington daily news,1998,F,washington,nc
320,starnews media,2013,E,wilmington,nc
322,the wilson times,2013,F,wilson,nc
323,the bismarck tribune,1998,E,bismarck,nd
324,the forum,1994,D,fargo,nd
325,grand forks herald,1997,E,grand forks,nd
326,akron beacon journal,1997,C,akron,oh
327,the repository,1994,D,canton,oh
328,the cincinnati enquirer,1997,C,cincinnati,oh
329,the cincinnati post and the kentucky post,2002,D,cincinnati,oh
330,the plain dealer,1994,B,cleveland,oh
334,dayton daily news,1997,C,dayton,oh
336,the chronicle telegram,2001,E,elyria,oh
337,journalnews & middletown journal,2014,F,hamilton,oh
338,the morning journal,1997,E,lorain,oh
339,record-courier,1997,F,ravenna,oh
340,the advocate,1996,F,newark,oh
341,norwalk reflector,1998,G,norwalk,oh
342,the blade and pittsburgh post-gazette,1997,C,toledo,oh
343,the troy daily news,2004,G,troy,oh
344,the daily record,1994,E,wooster,oh
345,the duncan banner,1998,G,duncan,ok
346,the shawnee news-star,2000,F,shawnee,ok
347,tulsa world,1997,C,tulsa,ok
349,albany democrat-herald,1998,F,albany,or
350,the bulletin,1994,F,bend,or
351,corvallis gazette-times,1998,F,corvallis,or
352,the register-guard,1994,D,eugene,or
353,the observer,1994,G,la grande,or
354,mail tribune/ashland daily tidings,2011,E,medford,or
355,east oregonian,1998,F,pendleton,or
357,the oregonian,1994,B,portland,or
358,statesman journal,1997,D,salem,or
362,the progress,1998,F,clearfield,pa
363,the express-times,1994,D,easton,pa
364,erie times-news,2001,D,erie,pa
365,the news,1994,D,erie,pa
366,the patriot-news,2011,D,mechanicsburg,pa
368,standard-speaker,1998,F,hazleton,pa
369,the tribune-democrat,1994,E,johnstown,pa
370,lancaster new era,2001,E,lancaster,pa
371,intelligencer journal/lancaster new era,2010,E,lancaster,pa
372,bucks county courier times,1997,D,levittown,pa
373,the derrick and the news-herald,2010,F,oil city,pa
375,the philadelphia inquirer,1997,A,philadelphia,pa
376,philadelphia daily news,1997,C,philadelphia,pa
377,pittsburgh post-gazette,1997,C,pittsburgh,pa
380,reading eagle,2003,D,reading,pa
381,the scranton times and the tribune,1997,D,scranton,pa
382,the herald,1994,E,sharon,pa
383,centre daily times,1997,E,state college,pa
384,the daily item,1994,E,sunbury,pa
385,valley news dispatch,1998,E,tarentum,pa
386,times leader,2001,E,wilkes-barre,pa
387,the citizens' voice,1994,E,wilkes-barre,pa
388,williamsport sun-gazette,1999,E,williamsport,pa
389,the providence journal,1999,C,providence,ri
391,the kent county daily times,1996,G,west warwick,ri
392,the call,1995,E,woonsocket,ri
393,anderson independent-mail,1997,E,anderson,sc
394,the post and courier,1994,C,charleston,sc
398,the state,1994,C,columbia,sc
399,morning news,2000,E,florence,sc
401,the greenville news,1997,D,greenville,sc
403,the item,1994,F,sumter,sc
404,rapid city journal,1998,E,rapid city,sd
405,argus leader,1997,E,sioux falls,sd
407,the leaf-chronicle,1994,F,clarksville,tn
408,the sun,1996,F,greeneville,tn
409,the jackson sun,1998,E,jackson,tn
410,johnson city press,1997,E,johnson city,tn
411,the times-news,1996,E,kingsport,tn
413,the knoxville news sentinel,2007,C,knoxville,tn
415,the commercial appeal,1994,C,memphis,tn
416,the banner,1995,D,nashville,tn
417,the tennessean,1994,C,nashville,tn
418,the oak ridger,1994,F,oak ridge,tn
419,abilene reporter-news,1998,E,abilene,tx
420,amarillo globe-news,2002,D,amarillo,tx
422,austin american-statesman,1997,C,austin,tx
424,the beaumont enterprise,2006,D,beaumont,tx
425,corpus christi caller-times,1998,D,corpus christi,tx
427,the dallas morning news,1997,B,dallas,tx
429,el paso herald-post,1997,F,el paso,tx
430,el paso times,1997,D,el paso,tx
431,fort worth star-telegram,1997,C,fort worth,tx
432,houston chronicle,1997,B,houston,tx
433,the post,1994,B,houston,tx
434,kerrville daily times,1998,G,kerrville,tx
435,lubbock avalanche-journal,1997,D,lubbock,tx
436,palestine herald-press,1998,G,palestine,tx
438,san angelo standard-times,1998,E,san angelo,tx
439,san antonio express-news,2013,C,houston,tx
441,temple daily telegram,1997,F,temple,tx
442,waco tribune-herald,1997,E,waco,tx
444,times record news,1998,E,wichita falls,tx
446,deseret morning news,2004,D,salt lake city,ut
447,salt lake tribune,1997,C,salt lake city,ut
448,the burlington free press,1998,D,burlington,vt
451,the free lance-star,1994,E,fredericksburg,va
452,daily news-record,2000,E,harrisonburg,va
455,the virginian-pilot,1998,C,norfolk,va
456,richmond times-dispatch,1997,C,richmond,va
457,the roanoke times,1997,C,roanoke,va
458,the bellingham herald,2000,E,bellingham,wa
459,kitsap sun,2006,E,bremerton,wa
460,the chronicle,2006,F,centralia,wa
461,herald,2004,D,everett,wa
462,the daily news,1994,F,longview,wa
463,tri-city herald,2010,E,kennewick,wa
464,seattlepi.com,2010,O,seattle,wa
465,the seattle times,1997,C,seattle,wa
466,the spokesman-review,1994,C,spokane,wa
467,the news tribune,1994,C,tacoma,wa
468,the columbian,1994,D,vancouver,wa
469,the wenatchee world,1997,E,wenatchee,wa
470,yakima herald-republic,1998,E,yakima,wa
471,the charleston gazette,2006,E,charleston,wv
472,wheeling news-register,1999,F,wheeling,wv
473,the post-crescent,1994,D,appleton,wi
474,the chippewa herald,1998,G,chippewa falls,wi
475,green bay press-gazette,2000,D,green bay,wi
476,kenosha news,1997,E,kenosha,wi
477,the capital times,1994,F,madison,wi
478,wisconsin state journal,1997,D,madison,wi
479,milwaukee journal sentinel,1997,B,milwaukee,wi
480,the sentinel,1994,C,milwaukee,wi
481,the sheboygan press,1999,E,sheboygan,wi
483,daily boomerang,1999,G,laramie,wy
485,the albuquerque tribune,1998,E,albuquerque,nm
486,the santa fe new mexican,1998,F,santa fe,nm
487,times union,1997,C,albany,ny
489,press & sun-bulletin,2000,D,binghamtom,ny
491,the buffalo news,2001,C,buffalo,ny
492,messenger post newspapers,2009,F,canandaigua,ny
493,star-gazette,1998,E,elmira,ny
494,newsday,1994,A,melville,ny
495,new york daily news,2013,A,new york,ny
496,the news-courier,1999,G,athens,al
497,the cullman times,2004,F,cullman,al
498,dothan eagle,2006,E,dothan,al
499,enterprise ledger,1998,G,enterprise,al
500,timesdaily,1997,E,florence,al
501,the gadsden times,1999,E,gadsden,al
502,the news,1995,F,huntsville,al
503,the daily mountain eagle,1999,F,jasper,al
504,valley times-news,1998,G,lanett,al
506,press-register,2007,D,mobile,al
507,opelika-auburn news,1998,F,opelika,al
508,the daily sentinel,1997,G,scottsboro,al
509,the selma times-journal,1998,G,selma,al
510,the daily home,1994,G,talladega,al
511,the messenger,1994,H,troy,al
512,fairbanks daily news-miner,1997,F,fairbanks,ak
513,juneau empire,2000,G,juneau,ak
514,the kodiak daily mirror,1998,H,kodiak,ak
515,the daily sitka sentinel,1998,H,sitka,ak
517,casa grande dispatch,1998,G,casa grande,az
518,the daily dispatch,1994,H,douglas,az
519,arizona daily sun,1997,F,flagstaff,az
520,the kingman daily miner,1998,G,kingman,az
521,east valley tribune,2014,D2,tempe,az
523,the daily courier,2001,F,prescott,az
524,sierra vista herald/bisbee daily review,2005,F,sierra vista,az
525,the tempe daily news-tribune,1994,F,mesa,az
526,arkadelphia daily siftings herald,2008,H,arkadelphia,ar
527,batesville daily guard,1998,G,batesville,ar
528,the benton courier,1998,G,benton,ar
529,blytheville courier news,1999,H,blytheville,ar
530,log cabin democrat,1999,F,conway,ar
531,the daily citizen,1994,H,de queen,ar
532,the news-times,1994,F,el dorado,ar
533,northwest arkansas times,1998,F,fayetteville,ar
534,times-herald,2004,H,forrest city,ar
535,harrison daily times,2004,G,harrison,ar
536,the daily world,1994,G,helena,ar
537,hope star,1998,H,hope,ar
538,the sentinel-record,2010,F,hot springs national park,ar
540,the jonesboro sun,2001,E,jonesboro,ar
541,banner-news,1999,H,magnolia,ar
542,malvern daily record,2004,G,malvern,ar
544,newport daily independent,1998,H,newport,ar
546,pine bluff commercial,1997,F,pine bluff,ar
548,the courier,1997,F,russellville,ar
549,the daily citizen,1994,G,searcy,ar
550,northwest arkansas newspapers llc,2010,E,springdale,ar
551,stuttgart daily leader,2008,H,stuttgart,ar
552,evening times,2000,G,west memphis,ar
553,the times star,1994,G,alameda,ca
555,the daily ledger-post dispatch,1994,F,antioch,ca
556,the record-gazette,1995,H,banning,ca
557,desert dispatch,1998,G,barstow,ca
564,the davis enterprise,1998,F,davis,ca
567,the daily californian,1994,F,el cajon,ca
568,imperial valley press,1998,F,el centro,ca
569,times-standard,1998,F,eureka,ca
570,daily republic,1998,F,fairfield,ca
572,fremont argus,1999,E,fremont,ca
575,the union,1994,F,grass valley,ca
576,the hanford sentinel,1999,F,hanford,ca
577,the daily review,1994,E,hayward,ca
578,the hemet news,1998,F,hemet,ca
579,free lance,1998,H,hollister,ca
583,tri-valley herald,2003,E,pleasanton,ca
584,the valley times,1994,E,pleasanton,ca
585,lodi news-sentinel,1998,F,lodi,ca
586,the lompoc record,1998,G,lompoc,ca
587,madera tribune,1998,G,madera,ca
589,appeal-democrat,1998,F,marysville,ca
590,merced sun-star,1998,F,merced,ca
591,the napa valley register,2004,F,napa,ca
594,the mercury register,1996,G,oroville,ca
595,the press-courier,1994,F,oxnard,ca
596,the desert sun,1994,E,palm springs,ca
599,the daily press,1994,G,paso robles,ca
602,the porterville recorder,1999,F,porterville,ca
603,daily news,1998,G,red bluff,ca
604,record searchlight,1997,E,redding,ca
605,redlands daily facts,1998,G,redlands,ca
607,the daily independent,1994,G,ridgecrest,ca
609,the salinas californian,2005,F,salinas,ca
610,the sun post news,1995,G,san clemente,ca
611,san diego daily transcript,1998,G,san diego,ca
612,san gabriel valley newspaper group,1997,C,west covina,ca
613,the tribune,2002,E,san luis obispo,ca
614,the san pedro news-pilot,1994,F,torrance,ca
615,the orange county register,1994,B,santa ana,ca
616,santa cruz sentinel,2008,F,scotts valley,ca
617,santa maria times/lompoc record,2014,F,santa maria,ca
619,tahoe daily tribune,1998,G,south lake tahoe,ca
620,the record,1994,D,stockton,ca
621,daily midway driller,2001,H,taft,ca
622,the news-chronicle,1994,F,thousand oaks,ca
623,tulare advance-register,1998,G,tulare,ca
624,turlock journal,1998,G,turlock,ca
625,ukiah daily journal,1998,G,ukiah,ca
626,times-herald,1998,F,vallejo,ca
627,the daily press,1994,E,victorville,ca
628,times-delta and tulare advance-register,2004,E,visalia,ca
630,"bay area news group, east bay",2010,C,walnut creek,ca
632,the daily democrat,1994,F,woodland,ca
633,siskiyou daily news,1998,G,yreka,ca
634,valley courier,2002,G,alamosa,co
635,daily record,1997,G,canon city,co
636,the gazette,1997,C,colorado springs,co
637,craig daily press,2006,H,craig,co
638,the durango herald,1998,G,durango,co
639,coloradoan,2013,F,fort collins,co
640,the fort morgan times,1998,G,fort morgan,co
641,post independent,2006,G,glenwood springs,co
643,the journal-advocate,2003,G,sterling,co
644,the daily sentinel,1994,E,grand junction,co
645,greeley tribune,2000,F,greeley,co
647,la junta tribune democrat,2008,H,la junta,co
648,the lamar daily news,1998,H,lamar,co
650,loveland daily reporter-herald,2000,F,loveland,co
651,the montrose daily press,1998,G,montrose,co
652,rocky ford daily gazette,1998,H,rocky ford,co
653,the mountain mail,1995,H,salida,co
654,the chronicle-news,2002,H,trinidad,co
656,the bristol press/new britain herald,2014,G,bristol,ct
660,the citizen,1995,G,milford,ct
661,the daily news,1995,H,naugatuck,ct
662,the day,1994,E,new london,ct
663,the hour,1994,F,norwalk,ct
664,norwich bulletin,1998,E,norwich,ct
665,the register citizen,1995,F,torrington,ct
666,republican-american,2006,D,waterbury,ct
669,boca raton news,1998,F,boca raton,fl
670,bradenton herald,1998,E,bradenton,fl
671,cape coral daily breeze,2006,H,cape coral,fl
673,florida today,1994,D,melbourne,fl
675,news-press,1997,D,fort myers,fl
676,the tribune,1994,E,fort pierce,fl
677,northwest florida daily news,1997,E,fort walton beach,fl
679,the key west citizen,1998,G,key west,fl
681,lake city reporter,1998,G,lake city,fl
683,the daily commercial,1994,E,leesburg,fl
684,jackson county floridan,2000,G,marianna,fl
686,naples daily news,2014,D2,naple,fl
687,ocala star-banner,1997,E,ocala,fl
688,clay today,1996,H,orange park,fl
689,daily news,2000,F,palatka,fl
690,palm beach daily news,1997,G,palm beach,fl
691,the news herald,1999,E,panama city,fl
693,the st. augustine record,1998,F,st. augustine,fl
694,seminole herald,1998,H,sanford,fl
695,news chief,2002,F,winter haven,fl
696,the albany herald,1997,E,albany,ga
697,americus times-recorder,1998,G,americus,ga
699,athens banner-herald,2003,E,athens,ga
700,the brunswick news,2000,F,brunswick,ga
701,the daily tribune news,1994,G,cartersville,ga
702,elgin courier news,2013,G,aurora,il
703,cordele dispatch,2001,H,cordele,ga
704,the daily citizen,2002,F,dalton,ga
705,the courier herald,1995,F,dublin,ga
707,griffin daily news,2000,F,griffin,ga
708,clayton news daily/henry daily herald,2005,H,jonesboro,ga
709,la grange daily news,1998,F,la grange,ga
712,marietta daily journal,1998,F,marietta,ga
713,the moultrie observer,2012,G,moultrie,ga
714,rome news-tribune,1998,F,rome,ga
717,thomasville times-enterprise,1998,G,thomasville,ga
718,the tifton gazette,1998,G,tifton,ga
719,the valdosta daily times,1998,F,valdosta,ga
720,the daily sun,1995,G,warner robins,ga
721,waycross journal-herald,1998,F,waycross,ga
724,the morning news,1995,H,blackfoot,id
725,the idaho statesman,1994,D,boise,id
726,south idaho press,2002,H,burley,id
727,idaho press-tribune,1998,F,nampa,id
728,coeur d'alene press and post falls press,2004,F,coeur d'alene,id
729,post register,1998,E,idaho falls,id
730,shoshone news-press,2002,H,kellogg,id
733,idaho state journal,1998,F,pocatello,id
734,bonner county daily bee,1998,G,sandpoint,id
735,the times-news,2000,F,twin falls,id
738,the illinoian-star daily,1994,H,beardstown,il
739,belleville news-democrat,2000,D,belleville,il
740,belvidere daily republican,1999,H,belvidere,il
741,benton evening news,2004,H,benton,il
744,canton daily ledger,2009,G,canton,il
745,carmi times,2008,H,carmi,il
747,centralia morning sentinel,2000,F,centralia,il
749,the news-gazette,1994,E,champaign,il
752,clinton daily journal,1999,H,clinton,il
753,herald & review,1999,E,decatur,il
754,the daily chronicle,1997,F,dekalb,il
756,the telegraph,1997,F,dixon,il
757,duquoin evening call,2007,H,duquoin,il
759,the edwardsville intelligencer,1998,G,edwardsville,il
760,effingham daily news,1998,F,effingham,il
761,eldorado daily journal,1998,H,eldorado,il
765,the journal standard,2009,F,freeport,il
766,harrisburg daily register/eldorado daily journal,2009,G,harrisburg,il
767,jacksonville journal-courier,1998,F,jacksonville,il
769,the herald news,2004,E,joliet,il
770,star courier,2008,H,kewanee,il
771,newstribune,2001,F,lasalle,il
772,daily record,1998,H,lawrenceville,il
773,the courier,1994,G,lincoln,il
774,news-herald,1998,G,litchfield,il
775,the macomb journal,1999,G,macomb,il
776,daily review atlas,1998,H,monmouth,il
777,morris daily herald,1998,G,morris,il
778,daily republican register,1998,H,mount carmel,il
780,register-news,2000,F,mount vernon,il
781,the olney daily mail,2008,H,olney,il
782,the times,2006,F,ottawa,il
784,the paris beacon-news,1998,G,paris,il
785,paxton record,2010,H,paxton,il
786,pekin daily times,2009,F,pekin,il
787,daily leader,2007,H,pontiac,il
788,robinson daily news,2002,G,robinson,il
789,rockford register star,1997,D,rockford,il
792,shelbyville daily union,2003,H,shelbyville,il
793,daily gazette and telegraph,2001,F,sterling,il
794,streator times-press,1998,G,streator,il
795,the taylorville daily breeze-courier,2007,G,taylorville,il
796,iroquois county's times-republic,1994,H,watseka,il
797,daily american,2010,H,west frankfort,il
801,the herald bulletin,1997,E,anderson,in
803,times-mail,1999,F,bedford,in
806,the knox county daily news,1996,H,bicknell,in
807,the evening world,2001,H,bloomfield,in
808,the herald-times,1994,E,bloomington,in
809,news-banner,2007,G,bluffton,in
810,the brazil times,1998,G,brazil,in
811,chesterton tribune,1998,G,chesterton,in
812,the daily clintonian,1994,G,clinton,in
813,the post & mail,1994,G,columbia city,in
814,connersville news-examiner,2007,G,connersville,in
815,journal review,1998,F,crawfordsville,in
816,decatur daily democrat,1998,G,decatur,in
817,the call-leader,2005,H,elwood,in
818,the times,1994,G,frankfort,in
819,daily journal,1998,F,franklin,in
820,the goshen news,1998,F,goshen,in
821,banner-graphic,2000,G,greencastle,in
822,daily reporter,1998,G,greenfield,in
823,greensburg daily news,2007,G,greensburg,in
824,hartford city news-times,2004,H,hartford city,in
825,huntington herald-press,1998,G,huntington,in
826,the herald,1994,F,jasper,in
827,the evening news,1997,F,jeffersonville,in
828,the news-sun,2008,G,kendallville,in
830,journal and courier,1997,E,lafayette,in
831,herald-argus,2005,F,laporte,in
832,the lebanon reporter,2001,G,lebanon,in
833,the daily world,2006,G,linton,in
834,pharos-tribune,2002,F,logansport,in
835,the madison courier,1998,G,madison,in
836,chronicle-tribune,1998,F,marion,in
837,the reporter-times,2007,G,martinsville,in
838,the news-dispatch,1994,F,michigan city,in
839,herald journal,2004,G,monticello,in
841,the evening press,1994,F,muncie,in
843,"tribune and the evening news, jeffersonville",2008,F,new albany,in
844,the daily ledger,2001,F,fishers,in
845,peru tribune,1998,G,peru,in
846,pilot news,2001,G,plymouth,in
847,the commercial review,1994,G,portland,in
848,princeton daily clarion,2002,G,princeton,in
849,republican,1998,H,rensselaer,in
850,palladium-item,1999,F,richmond,in
851,the rochester sentinel,1998,H,rochester,in
852,the rushville republican,2006,H,rushville,in
