news_id,paper,city_state,coverage_area,coverage_area_orig,hispanic,white,black,american_indian_alaska_native,asian,native_hawaiian_pacific_islander,other,two_or_more,female
550,northwest arkansas newspapers llc,"springdale, ar","Fayetteville, Springdale, Rogers, Bentonville County","fayetteville, springdale, rogers, bentonville counties; ar",21.68,65.83,3.28,0.92,4,2.01,0.3,1.98,n/a
673,Florida Today,Melbourne,"Brevard, Orange, Seminole, Osceola, Brevard, Volusia and Lake County",,21.86,57.77,13.58,0.19,3.4,0.06,0.4,2.74,n/a
675,The News-Press,Fort Myers,"Collier ,Llee, Charlotte, Manatee, Sarasota, Desoto, Hendry and Glades County",,16.22,71.86,8.49,0.21,1.45,0.02,0.15,1.6,n/a
1180,asbury park press,"neptune, nj",Monmouth and Ocean County,"monmouth and ocean counties, NJ",9.97,79.82,7.55,0.3,3.85,0.05,0,1.56,n/a
1247,Times Herald Record,"Middletown, NY","Orange, Sullivan, Ulster, Pike, Sussex County",,13.74,74.08,6.68,0.11,2.06,0.02,0.25,3.05,n/a
1462,Beaver County Times,"Beaver, PA","Beaver, Alegheny and Lawrence County",,1.74,81.4,11.51,0.09,2.78,0.02,0.17,2.3,n/a
1478,The Intelligencer,doylestown pa,Bucks and Montgomery County,,4.66,80.76,6.49,0.1,5.82,0.01,0.19,1.96,n/a
1536,york daily record,"york, pa","York County, PA","york county, PA",7.2,84,6.7,0.3,1.5,0.1,null,2.1,50.6
1659,standard-examiner,"ogden, ut","Weber, Davis, Box Elder, Cache County","weber, davis counties, box elder, cache counties; ut",12.34,81.89,1.35,0.97,1.91,0.55,0,2.45,n/a
1682,daily press media group,"newport news, va","Virginia Peninsula, VA","virginia peninsula, va (chesapeake, franklin, hampton, newport news, norfolk, poquoson, portsmouth, suffolk, virginia beach, and williamsburg)",6.38,52.76,33.14,0.26,3.82,0.11,0.27,3.24,n/a
1722,The Parkersburg News and The Parkersburg Sentinel,Parkersburg,Mid-Ohio Valley,"Mid-ohio valley (calhoun, jackson, pleasants, ritchie, roane, wirt, and wood counties), wv",0.75,96.3,0.77,0.13,0.38,0.02,0.07,1.59,n/a
1865,USA Today,"mclean, va",United States,united states,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,n/a
2029,Charlotte Sun,"charlotte harbor, fl","port charlotte/punta gorda, fl",,7.81,80.21,7.7,0.14,1.82,0.01,0.27,2.04,n/a
2147,The Texas Tribune,Austin,Texas,,39.1,42.6,12.6,1,4.8,0.1,null,1.9,50.3
2199,ProPublica,"new york, ny",United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
2274,center for investigative reporting/california watch,berkeley ca,united states,,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
2408,Arkansas Democrat-Gazette,little rock,Arkansas,,7.3,72.9,15.7,1,1.6,0.3,null,2,50.9
2415,Gannett Corporate,n/a,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9900,Georgia News Lab,,Georgia,,9.1,54.6,30.5,0.2,3.6,0,0.2,1.7,51.2
9903,Conn. Health I-Team,,Connecticut,,14.7,69.2,9.6,0.1,4.2,0,0.3,1.9,51.3
9904,Iowa Center for Public Affairs Journalism,,Iowa,,5.4,87.4,3.1,0.3,2,0.1,0.1,1.6,50.4
9906,Aspen Journalism,,Colorado,,21.1,69.1,3.9,0.5,2.8,0.1,0.2,2.3,51.2
9908,Highlands Current,,"Cold Spring, Philipstown and Beacon",,18.4,59.6,16.6,0.4,1.6,0,0.4,3,48.7
9909,Montana Free Press,,Montana,,3.3,87,0.4,6.3,0.7,0.1,0,2.2,49.7
9910,Ensia,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9911,www.grantcountybeat.com,,"Grant County, NM",,49.2,47.6,0.5,0.7,0.1,0,0,1.9,50.6
9912,Solitary Watch,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9914,Auricle Productions,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9915,BenitoLink.com,,"San Benito County, CA",,57.9,36.6,0.7,0.3,2.5,0.1,0.1,1.7,50
9916,Carolina Public Press,,North Carolina,,8.8,64.2,21.2,1.1,2.5,0.1,0.2,1.9,51.3
9917,Shelterforce,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9918,The GroundTruth Project,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9919,Alabama Initiative for Independent Journalism publishing as BirminghamWatch,,Alabama,,4,66.3,26.3,0.5,1.2,0,0.1,1.5,51.5
9920,California Health Report,,California,california,38.9,37.7,6.5,1.7,14.8,0.5,null,3.8,50.3
9922,Pulitzer Center,,United States,United States,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,50.8
9925,CNBNEWS,,Southern New Jersey,,7.2,85,2.3,0.2,4.2,0,0.1,1.1,52.2
9926,Georgia Health News,,Georgia,,9.1,54.6,30.5,0.2,3.6,0,0.2,1.7,51.2
