Company,city_concat,alt_name,NewsID,Year,Circ,City,State
daily register,daily registeroelwein,,888,2006,H,oelwein,ia
oskaloosa herald,oskaloosa heraldoskaloosa,,889,1998,H,oskaloosa,ia
the ottumwa courier,the ottumwa courierottumwa,,890,1998,F,ottumwa,ia
valley news today,valley news todayshenandoah,,892,1998,H,shenandoah,ia
sioux city journal,sioux city journalsioux city,,893,1998,E,sioux city,ia
the daily reporter,the daily reporterspencer,,894,1994,H,spencer,ia
the cedar valley times,the cedar valley timesvinton,,895,1995,H,vinton,ia
the washington evening journal,the washington evening journalwashington,,896,1998,H,washington,ia
waterloo-cedar falls courier,waterloo-cedar falls courierwaterloo,,166,2000,E,waterloo,ia
the daily freeman-journal,the daily freeman-journalwebster city,,897,1994,H,webster city,ia
the morning news,the morning newsblackfoot,,724,1995,H,blackfoot,id
the idaho statesman,the idaho statesmanboise,,725,1994,D,boise,id
south idaho press,south idaho pressburley,,726,2002,H,burley,id
coeur d'alene press and post falls press,coeur d'alene press and post falls presscoeur d'alene,,728,2004,F,coeur d'alene,id
post register,post registeridaho falls,,729,1998,E,idaho falls,id
shoshone news-press,shoshone news-presskellogg,,730,2002,H,kellogg,id
lewiston tribune,lewiston tribunelewiston,,127,2008,F,lewiston,id
moscow-pullman daily news,moscow-pullman daily newsmoscow,,1850,1997,G,moscow,id
idaho press-tribune,idaho press-tribunenampa,,727,1998,F,nampa,id
idaho state journal,idaho state journalpocatello,,733,1998,F,pocatello,id
post falls press,post falls presspost falls,,2082,1999,H,post falls,id
standard journal,standard journalrexburg,,2124,2009,H,rexburg,id
bonner county daily bee,bonner county daily beesandpoint,,734,1998,G,sandpoint,id
the times-news,the times-newstwin falls,,735,2000,F,twin falls,id
The Telegraph,The Telegraphalton,,128,1994,E,alton,il
daily herald,daily heraldarlington heights,,129,1997,C,arlington heights,il
the beacon-news,the beacon-newsaurora,,130,1996,E,aurora,il
elgin courier news,elgin courier newsaurora,,702,2013,G,aurora,il
the naperville sun,the naperville sunaurora,,2093,2011,F,aurora,il
the illinoian-star daily,the illinoian-star dailybeardstown,,738,1994,H,beardstown,il
belleville news-democrat,belleville news-democratbelleville,,739,2000,D,belleville,il
belvidere daily republican,belvidere daily republicanbelvidere,,740,1999,H,belvidere,il
benton evening news,benton evening newsbenton,,741,2004,H,benton,il
the pantagraph,the pantagraphbloomington,,131,1995,D,bloomington,il
canton daily ledger,canton daily ledgercanton,,744,2009,G,canton,il
southern illinoisan,southern illinoisancarbondale,,132,1998,E,carbondale,il
carmi times,carmi timescarmi,,745,2008,H,carmi,il
centralia morning sentinel,centralia morning sentinelcentralia,,747,2000,F,centralia,il
the news-gazette,the news-gazettechampaign,,749,1994,E,champaign,il
chicago sun-times,chicago sun-timeschicago,,134,2006,B,chicago,il
chicago tribune,chicago tribunechicago,,135,1997,A,chicago,il
the daily southtown,the daily southtownchicago,,1819,1994,D,chicago,il
hoy,hoychicago,,2117,2011,D,chicago,il
redeye,redeyechicago,,2120,2006,D,chicago,il
clinton daily journal,clinton daily journalclinton,,752,1999,H,clinton,il
suburban journals of madison county,suburban journals of madison countycollinsville,,2253,2014,F,collinsville,il
northwest herald,northwest heraldcrystal lake,,1820,2008,E,crystal lake,il
commercial-news,commercial-newsdanville,,136,1998,F,danville,il
herald & review,herald & reviewdecatur,,753,1999,E,decatur,il
the daily chronicle,the daily chronicledekalb,,754,1997,F,dekalb,il
the telegraph,the telegraphdixon,,756,1997,F,dixon,il
duquoin evening call,duquoin evening callduquoin,,757,2007,H,duquoin,il
the edwardsville intelligencer,the edwardsville intelligenceredwardsville,,759,1998,G,edwardsville,il
effingham daily news,effingham daily newseffingham,,760,1998,F,effingham,il
eldorado daily journal,eldorado daily journaleldorado,,761,1998,H,eldorado,il
the daily clay county advocate-press,the daily clay county advocate-pressflora,,1821,1996,H,flora,il
the journal standard,the journal standardfreeport,,765,2009,F,freeport,il
the register-mail,the register-mailgalesburg,,137,1994,F,galesburg,il
the news-sun,the news-sungurnee,,143,2014,F,gurnee,il
harrisburg daily register/eldorado daily journal,harrisburg daily register/eldorado daily journalharrisburg,,766,2009,G,harrisburg,il
jacksonville journal-courier,jacksonville journal-courierjacksonville,,767,1998,F,jacksonville,il
the herald news,the herald newsjoliet,,769,2004,E,joliet,il
the daily journal,the daily journalkankakee,,138,1994,E,kankakee,il
star courier,star courierkewanee,,770,2008,H,kewanee,il
newstribune,newstribunelasalle,,771,2001,F,lasalle,il
daily record,daily recordlawrenceville,,772,1998,H,lawrenceville,il
the courier,the courierlincoln,,773,1994,G,lincoln,il
news-herald,news-heraldlitchfield,,774,1998,G,litchfield,il
the macomb journal,the macomb journalmacomb,,775,1999,G,macomb,il
the mcdonough county voice,the mcdonough county voicemacomb,,2379,2016,G,macomb,il
marion daily republican,marion daily republicanmarion,,1785,2012,H,marion,il
mattoon journal-gazette/charleston times-courier,mattoon journal-gazette/charleston times-couriermattoon,,1786,1998,F,mattoon,il
the dispatch and the rock island argus,the dispatch and the rock island argusmoline,,139,1998,E,moline,il
daily review atlas,daily review atlasmonmouth,,776,1998,H,monmouth,il
morris daily herald,morris daily heraldmorris,,777,1998,G,morris,il
daily republican register,daily republican registermount carmel,,778,1998,H,mount carmel,il
register-news,register-newsmount vernon,,780,2000,F,mount vernon,il
the olney daily mail,the olney daily mailolney,,781,2008,H,olney,il
the times,the timesottawa,,782,2006,F,ottawa,il
the paris beacon-news,the paris beacon-newsparis,,784,1998,G,paris,il
The Prairie Press,The Prairie PressParis,,2410,n/a,n/a,paris,il
paxton record,paxton recordpaxton,,785,2010,H,paxton,il
pekin daily times,pekin daily timespekin,,786,2009,F,pekin,il
journal star,journal starpeoria,,140,1997,D,peoria,il
daily leader,daily leaderpontiac,,787,2007,H,pontiac,il
quincy herald-whig,quincy herald-whigquincy,,141,2014,F,quincy,il
robinson daily news,robinson daily newsrobinson,,788,2002,G,robinson,il
rockford register star,rockford register starrockford,,789,1997,D,rockford,il
shelbyville daily union,shelbyville daily unionshelbyville,,792,2003,H,shelbyville,il
the state journal-register,the state journal-registerspringfield,,142,1994,D,springfield,il
kane county chronicle,kane county chroniclest. charles,,2059,2012,F,st. charles,il
daily gazette and telegraph,daily gazette and telegraphsterling,,793,2001,F,sterling,il
streator times-press,streator times-pressstreator,,794,1998,G,streator,il
the taylorville daily breeze-courier,the taylorville daily breeze-couriertaylorville,,795,2007,G,taylorville,il
iroquois county's times-republic,iroquois county's times-republicwatseka,,796,1994,H,watseka,il
daily american,daily americanwest frankfort,,797,2010,H,west frankfort,il
the herald bulletin,the herald bulletinanderson,,801,1997,E,anderson,in
herald-republican,herald-republicanangola,,2095,2006,H,angola,in
the evening star,the evening starauburn,,1789,1995,G,auburn,in
times-mail,times-mailbedford,,803,1999,F,bedford,in
the knox county daily news,the knox county daily newsbicknell,,806,1996,H,bicknell,in
the evening world,the evening worldbloomfield,,807,2001,H,bloomfield,in
the herald-times,the herald-timesbloomington,,808,1994,E,bloomington,in
news-banner,news-bannerbluffton,,809,2007,G,bluffton,in
the brazil times,the brazil timesbrazil,,810,1998,G,brazil,in
chesterton tribune,chesterton tribunechesterton,,811,1998,G,chesterton,in
the daily clintonian,the daily clintonianclinton,,812,1994,G,clinton,in
the post & mail,the post & mailcolumbia city,,813,1994,G,columbia city,in
the republic,the republiccolumbus,,144,1994,F,columbus,in
connersville news-examiner,connersville news-examinerconnersville,,814,2007,G,connersville,in
journal review,journal reviewcrawfordsville,,815,1998,F,crawfordsville,in
decatur daily democrat,decatur daily democratdecatur,,816,1998,G,decatur,in
the elkhart truth,the elkhart truthelkhart,,145,1997,E,elkhart,in
the call-leader,the call-leaderelwood,,817,2005,H,elwood,in
evansville courier & press,evansville courier & pressevansville,,146,2005,D,evansville,in
evansville+courier & press,evansville+courier & pressevansville,,2294,2013,D2,evansville,in
the daily ledger,the daily ledgerfishers,,844,2001,F,fishers,in
the journal gazette,the journal gazettefort wayne,,147,1996,D,fort wayne,in
the news-sentinel,the news-sentinelfort wayne,,148,1994,D,fort wayne,in
journal gazette,journal gazettefort wayne,,2311,2015,D2,fort wayne,in
the times,the timesfrankfort,,818,1994,G,frankfort,in
daily journal,daily journalfranklin,,819,1998,F,franklin,in
the goshen news,the goshen newsgoshen,,820,1998,F,goshen,in
banner-graphic,banner-graphicgreencastle,,821,2000,G,greencastle,in
daily reporter,daily reportergreenfield,,822,1998,G,greenfield,in
greensburg daily news,greensburg daily newsgreensburg,,823,2007,G,greensburg,in
hartford city news-times,hartford city news-timeshartford city,,824,2004,H,hartford city,in
huntington herald-press,huntington herald-presshuntington,,825,1998,G,huntington,in
the news,the newsindianapolis,,151,1994,C,indianapolis,in
the indianapolis star,the indianapolis starindianapolis,,152,2000,B,indianapolis,in
the herald,the heraldjasper,,826,1994,F,jasper,in
the evening news,the evening newsjeffersonville,,827,1997,F,jeffersonville,in
the news-sun,the news-sunkendallville,,828,2008,G,kendallville,in
kokomo tribune,kokomo tribunekokomo,,153,1998,F,kokomo,in
journal and courier,journal and courierlafayette,,830,1997,E,lafayette,in
lafayette journal & courier,lafayette journal & courierlafayette,,2314,2013,E,lafayette,in
herald-argus,herald-arguslaporte,,831,2005,F,laporte,in
the lebanon reporter,the lebanon reporterlebanon,,832,2001,G,lebanon,in
the daily world,the daily worldlinton,,833,2006,G,linton,in
pharos-tribune,pharos-tribunelogansport,,834,2002,F,logansport,in
the madison courier,the madison couriermadison,,835,1998,G,madison,in
chronicle-tribune,chronicle-tribunemarion,,836,1998,F,marion,in
the reporter-times,the reporter-timesmartinsville,,837,2007,G,martinsville,in
post-tribune,post-tribunemerrillville,,149,2009,D,merrillville,in
the news-dispatch,the news-dispatchmichigan city,,838,1994,F,michigan city,in
the news dispatch,the news dispatchmichigan city,,2380,2012,G,michigan city,in
herald journal,herald journalmonticello,,839,2004,G,monticello,in
the star press,the star pressmuncie,,154,1997,E,muncie,in
the evening press,the evening pressmuncie,,841,1994,F,muncie,in
the times of northwest indiana,the times of northwest indianamunster,,150,2006,D,munster,in
lee enterprises - munster hub,lee enterprises - munster hubmunster,,2321,2015,Hubs,munster,in
"tribune and the evening news, jeffersonville","tribune and the evening news, jeffersonvillenew albany",,843,2008,F,new albany,in
the courier-times,the courier-timesnew castle,,155,1996,F,new castle,in
noblesville daily times,noblesville daily timesnoblesville,,2100,2005,G,noblesville,in
the times,the timesnoblesville,,2387,2015,G,noblesville,in
peru tribune,peru tribuneperu,,845,1998,G,peru,in
pilot news,pilot newsplymouth,,846,2001,G,plymouth,in
the commercial review,the commercial reviewportland,,847,1994,G,portland,in
princeton daily clarion,princeton daily clarionprinceton,,848,2002,G,princeton,in
republican,republicanrensselaer,,849,1998,H,rensselaer,in
palladium-item,palladium-itemrichmond,,850,1999,F,richmond,in
the rochester sentinel,the rochester sentinelrochester,,851,1998,H,rochester,in
the rushville republican,the rushville republicanrushville,,852,2006,H,rushville,in
the tribune,the tribuneseymour,,853,1995,G,seymour,in
the shelbyville news,the shelbyville newsshelbyville,,854,1997,F,shelbyville,in
south bend tribune,south bend tribunesouth bend,,156,1997,D,south bend,in
spencer evening world,spencer evening worldspencer,,855,1998,H,spencer,in
the sullivan daily times,the sullivan daily timessullivan,,856,2012,H,sullivan,in
tribune-star,tribune-starterre haute,,157,1998,E,terre haute,in
tipton county tribune,tipton county tribunetipton,,857,1998,H,tipton,in
the vidette-messenger,the vidette-messengervalparaiso,,858,1996,F,valparaiso,in
vincennes sun-commercial,vincennes sun-commercialvincennes,,859,2001,F,vincennes,in
wabash plain dealer,wabash plain dealerwabash,,860,2004,G,wabash,in
times-union,times-unionwarsaw,,861,2009,F,warsaw,in
washington times-herald,washington times-heraldwashington,,862,1997,F,washington,in
winchester news-gazette,winchester news-gazettewinchester,,863,1998,H,winchester,in
abilene reflector-chronicle,abilene reflector-chronicleabilene,,898,1998,H,abilene,ks
arkansas city traveler,arkansas city travelerarkansas city,,899,2002,H,arkansas city,ks
atchison daily globe,atchison daily globeatchison,,900,1998,H,atchison,ks
butler county times gazette,butler county times gazetteaugusta,,901,2014,H,augusta,ks
beloit daily call,beloit daily callbeloit,,902,1998,H,beloit,ks
the chanute tribune,the chanute tribunechanute,,904,1997,H,chanute,ks
clay center dispatch,clay center dispatchclay center,,905,2001,H,clay center,ks
the coffeyville journal,the coffeyville journalcoffeyville,,167,1998,G,coffeyville,ks
colby free press,colby free presscolby,,1790,2000,H,colby,ks
the columbus daily advocate,the columbus daily advocatecolumbus,,906,1998,H,columbus,ks
blade-empire,blade-empireconcordia,,907,2007,H,concordia,ks
council grove republican,council grove republicancouncil grove,,908,1998,H,council grove,ks
derby reporter,derby reporterderby,,2060,2008,H,derby,ks
dodge city daily globe,dodge city daily globedodge city,,909,2000,G,dodge city,ks
the el dorado times,the el dorado timesel dorado,,910,1998,H,el dorado,ks
the emporia gazette,the emporia gazetteemporia,,168,1997,F,emporia,ks
the fort scott tribune,the fort scott tribunefort scott,,911,1999,H,fort scott,ks
the garden city telegram,the garden city telegramgarden city,,913,1997,F,garden city,ks
the goodland daily news,the goodland daily newsgoodland,,914,1998,H,goodland,ks
great bend tribune,great bend tribunegreat bend,,915,2000,G,great bend,ks
the hays daily news,the hays daily newshays,,916,1998,F,hays,ks
hiawatha daily world,hiawatha daily worldhiawatha,,917,1998,H,hiawatha,ks
the hutchinson news,the hutchinson newshutchinson,,169,1998,E,hutchinson,ks
independence daily reporter,independence daily reporterindependence,,918,1999,G,independence,ks
iola register,iola registeriola,,919,1998,H,iola,ks
the daily union,the daily unionjunction city,,920,1994,G,junction city,ks
kansas city kansan,kansas city kansankansas city,,921,1998,F,kansas city,ks
the tiller & toiler,the tiller & toilerlarned,,922,1999,H,larned,ks
lawrence journal-world,lawrence journal-worldlawrence,,170,2000,F,lawrence,ks
leavenworth times,leavenworth timesleavenworth,,923,2008,G,leavenworth,ks
southwest daily times,southwest daily timesliberal,,924,1998,G,liberal,ks
the leader & times,the leader & timesliberal,,2376,2016,H,liberal,ks
the lyons daily news,the lyons daily newslyons,,925,1998,H,lyons,ks
the manhattan mercury,the manhattan mercurymanhattan,,171,1997,F,manhattan,ks
mcpherson sentinel,mcpherson sentinelmcpherson,,926,1998,G,mcpherson,ks
newton kansan,newton kansannewton,,928,1998,G,newton,ks
the norton daily telegram,the norton daily telegramnorton,,929,2001,H,norton,ks
the olathe daily news,the olathe daily newsolathe,,172,1999,G,olathe,ks
the ottawa herald,the ottawa heraldottawa,,173,1998,G,ottawa,ks
parsons sun,parsons sunparsons,,174,1997,G,parsons,ks
the morning sun,the morning sunpittsburg,,930,1994,F,pittsburg,ks
the pratt tribune,the pratt tribunepratt,,931,2002,H,pratt,ks
the russell daily news,the russell daily newsrussell,,932,2001,H,russell,ks
salina journal,salina journalsalina,,933,2005,E,salina,ks
the topeka capital-journal,the topeka capital-journaltopeka,,176,1997,D,topeka,ks
wellington daily news,wellington daily newswellington,,934,1998,H,wellington,ks
the wichita eagle,the wichita eaglewichita,,177,1997,C,wichita,ks
winfield daily courier,winfield daily courierwinfield,,935,1997,G,winfield,ks
the independent,the independentashland,,936,2004,F,ashland,ky
daily news,daily newsbowling green,,937,1998,F,bowling green,ky
times-tribune,times-tribunecorbin,,938,2001,G,corbin,ky
the advocate-messenger,the advocate-messengerdanville,,939,1995,F,danville,ky
kyforward.com,kyforward.comedgewood,,2312,2016,O,edgewood,ky
the news-enterprise,the news-enterpriseelizabethtown,,940,1994,F,elizabethtown,ky
the state journal,the state journalfrankfort,,941,1994,F,frankfort,ky
glasgow daily times,glasgow daily timesglasgow,,943,2005,G,glasgow,ky
the harlan daily enterprise,the harlan daily enterpriseharlan,,944,2000,G,harlan,ky
the gleaner,the gleanerhenderson,,945,1994,F,henderson,ky
kentucky new era,kentucky new erahopkinsville,,946,1998,F,hopkinsville,ky
lexington herald-leader,lexington herald-leaderlexington,,181,1997,C,lexington,ky
the courier-journal,the courier-journallouisville,,183,1994,C,louisville,ky
Louisville Design Studio,Louisville Design Studiolouisville,,2299,2014,Hubs,louisville,ky
the messenger,the messengermadisonville,,947,1994,F,madisonville,ky
mayfield messenger,mayfield messengermayfield,,948,2005,G,mayfield,ky
the ledger-independent,the ledger-independentmaysville,,949,1994,G,maysville,ky
the daily news,the daily newsmiddlesboro,,950,1999,G,middlesboro,ky
the murray ledger & times,the murray ledger & timesmurray,,951,1998,G,murray,ky
messenger inquirer,messenger inquirerowensboro,,185,2001,E,owensboro,ky
the paducah sun,the paducah sunpaducah,,187,1998,E,paducah,ky
the richmond register,the richmond registerrichmond,,953,2001,G,richmond,ky
the commonwealth-journal,the commonwealth-journalsomerset,,954,2008,G,somerset,ky
the winchester sun,the winchester sunwinchester,,955,1998,G,winchester,ky
abbeville meridional,abbeville meridionalabbeville,,1822,1998,G,abbeville,la
the town talk,the town talkalexandria,,188,2005,E,alexandria,la
the bastrop daily enterprise,the bastrop daily enterprisebastrop,,956,2008,H,bastrop,la
the advocate,the advocatebaton rouge,,957,1994,D,baton rouge,la
daily news,daily newsbogalusa,,958,1998,G,bogalusa,la
the bossier press-tribune,the bossier press-tribunebossier city,,2125,2012,H,bossier city,la
the crowley post-signal,the crowley post-signalcrowley,,1856,1998,G,crowley,la
beauregard daily news,beauregard daily newsderidder,,2032,2004,G,deridder,la
st. mary and franklin banner-tribune,st. mary and franklin banner-tribunefranklin,,961,1998,H,franklin,la
the daily star,the daily starhammond,,962,1994,F,hammond,la
the courier/daily comet,the courier/daily comethouma,,963,2009,E,houma,la
jennings daily news,jennings daily newsjennings,,965,1998,G,jennings,la
the daily advertiser,the daily advertiserlafayette,,966,2016,E,lafayette,la
american press,american presslake charles,,189,2000,E,lake charles,la
leesville daily leader,leesville daily leaderleesville,,2009,2009,H,leesville,la
minden press-herald,minden press-heraldminden,,968,2000,H,minden,la
the news-star,the news-starmonroe,,190,1994,E,monroe,la
the daily review,the daily reviewmorgan city,,969,1996,G,morgan city,la
natchitoches times,natchitoches timesnatchitoches,,2074,1998,G,natchitoches,la
the daily iberian,the daily iberiannew iberia,,970,1994,F,new iberia,la
the times-picayune,the times-picayunenew orleans,,192,1994,B,new orleans,la
the lens,the lensnew orleans,,2377,2016,O,new orleans,la
the daily world,the daily worldopelousas,,971,1994,F,opelousas,la
ruston daily leader,ruston daily leaderruston,,972,1998,G,ruston,la
the times,the timesshreveport,,194,1994,D,shreveport,la
the sentry-news,the sentry-newsslidell,,973,1997,G,slidell,la
southwest daily news,southwest daily newssulphur,,2021,2005,H,sulphur,la
daily comet,daily cometthibodaux,,975,1998,F,thibodaux,la
the marlboro enterprise/hudson daily sun,the marlboro enterprise/hudson daily sunacton,,1006,1995,G,acton,ma
athol daily news,athol daily newsathol,,992,2000,G,athol,ma
the sun chronicle,the sun chronicleattleboro,,993,2005,F,attleboro,ma
the salem news,the salem newsbeverly,,213,2003,E,beverly,ma
boston herald,boston heraldboston,,203,1997,B,boston,ma
the christian science monitor,the christian science monitorboston,,204,1994,C,boston,ma
globalpost,globalpostboston,,2190,2010,O,boston,ma
the enterprise,the enterprisebrockton,,995,1998,E,brockton,ma
the daily item,the daily itemclinton,,998,1994,H,clinton,ma
the daily transcript,the daily transcriptdedham,,999,1995,G,dedham,ma
the boston globe,the boston globedorchester,,202,2014,B,dorchester,ma
the herald news,the herald newsfall river,,1000,1995,E,fall river,ma
sentinel & enterprise,sentinel & enterprisefitchburg,,1001,1997,F,fitchburg,ma
the metrowest daily news / the milford daily news,the metrowest daily news / the milford daily newsframingham,,1002,2014,F,framingham,ma
the gardner news,the gardner newsgardner,,1003,1999,G,gardner,ma
gloucester daily times,gloucester daily timesgloucester,,205,2012,G,gloucester,ma
the berkshire edge,the berkshire edgegreat barrington,,2368,2016,O,great barrington,ma
the recorder,the recordergreenfield,,1004,1994,F,greenfield,ma
the gazette,the gazettehaverhill,,1005,1994,F,haverhill,ma
cape cod times,cape cod timeshyannis,,207,1997,E,hyannis,ma
lexington minuteman,lexington minutemanlexington,,2323,2015,H,lexington,ma
the sun,the sunlowell,,208,1994,D,lowell,ma
the daily item,the daily itemlynn,,1008,2009,F,lynn,ma
medford daily mercury/malden evening news,medford daily mercury/malden evening newsmalden,,2329,2016,F,malden,ma
the milford daily news,the milford daily newsmilford,,1012,2008,G,milford,ma
daily news tribune,daily news tribuneneedham,,2098,2011,G,needham,ma
The Standard-Times,The Standard-Timesnew bedford,the standard times,1013,1995,E,new bedford,ma
the daily news of newburyport,the daily news of newburyportnewburyport,,210,1998,F,newburyport,ma
north adams transcript,north adams transcriptnorth adams,,211,1998,G,north adams,ma
the eagle-tribune newspapers/cnhi,the eagle-tribune newspapers/cnhinorth andover,,1007,2007,D,north andover,ma
daily hampshire gazette,daily hampshire gazettenorthampton,,1014,1997,F,northampton,ma
daily news transcript,daily news transcriptnorwood,,2099,2008,H,norwood,ma
the berkshire eagle,the berkshire eaglepittsfield,,1016,1994,E,pittsfield,ma
the patriot ledger/the enterprise,the patriot ledger/the enterprisequincy,,212,2013,E,quincy,ma
the southbridge evening news,the southbridge evening newssouthbridge,,214,2001,G,southbridge,ma
the republican,the republicanspringfield,,216,2004,D,springfield,ma
taunton daily gazette,taunton daily gazettetaunton,,1017,1998,F,taunton,ma
wakefield daily item,wakefield daily itemwakefield,,1018,2010,H,wakefield,ma
waltham news-tribune,waltham news-tribunewaltham,,218,1997,G,waltham,ma
westfield evening news,westfield evening newswestfield,,1019,1998,G,westfield,ma
westford template,westford templatewestford,,2403,2016,O,westford,ma
daily times chronicle,daily times chroniclewoburn,,1020,1998,F,woburn,ma
telegram & gazette,telegram & gazetteworcester,,219,1998,C,worcester,ma
the capital,the capitalannapolis,,197,1994,E,annapolis,md
capital gazette communications,capital gazette communicationsannapolis,,2239,2014,E,annapolis,md
the sun,the sunbaltimore,,199,1994,B,baltimore,md
the baltimore sun,the baltimore sunbaltimore,,2365,2016,B,baltimore,md
daily banner,daily bannercambridge,,985,1998,H,cambridge,md
cumberland times-news,cumberland times-newscumberland,,986,2006,E,cumberland,md
dundalk eagle,dundalk eagledundalk,,2234,2014,F,dundalk,md
the star democrat,the star democrateaston,,988,1998,F,easton,md
cecil whig,cecil whigelkton,,2048,2000,F,elkton,md
the frederick news-post,the frederick news-postfrederick,,989,2000,E,frederick,md
the herald-mail,the herald-mailhagerstown,,200,1998,E,hagerstown,md
the daily mail/morning herald,the daily mail/morning heraldhagerstown,,201,1994,E,hagerstown,md
the daily times,the daily timessalisbury,,991,1994,E,salisbury,md
carroll county times,carroll county timeswestminster,,1824,1997,F,westminster,md
central maine newspapers,central maine newspapersaugusta,,976,2004,E,augusta,me
bangor daily news,bangor daily newsbangor,,196,1997,D,bangor,me
journal tribune,journal tribunebiddeford,,977,2008,G,biddeford,me
the times record,the times recordbrunswick,,978,1994,F,brunswick,me
maine center for public interest reporting,maine center for public interest reportinghallowell,,2155,2010,O,hallowell,me
sun journal,sun journallewiston,,979,1998,E,lewiston,me
portland press herald/maine sunday telegram,portland press herald/maine sunday telegramportland,,981,1999,D,portland,me
morning sentinel,morning sentinelwaterville,,983,2000,F,waterville,me
the daily telegram,the daily telegramadrian,,1021,1994,F,adrian,mi
albion recorder/marshall chronicle,albion recorder/marshall chroniclealbion,,1022,1998,H,albion,mi
the alpena news,the alpena newsalpena,,1023,2001,F,alpena,mi
the ann arbor news,the ann arbor newsann arbor,,221,1997,D,ann arbor,mi
the huron daily tribune,the huron daily tribunebad axe,,1024,1994,G,bad axe,mi
battle creek enquirer,battle creek enquirerbattle creek,,222,1998,E,battle creek,mi
the bay city times,the bay city timesbay city,,224,1997,E,bay city,mi
big rapids pioneer,big rapids pioneerbig rapids,,1026,1998,G,big rapids,mi
cadillac news,cadillac newscadillac,,1027,1999,G,cadillac,mi
cheboygan daily tribune,cheboygan daily tribunecheboygan,,1028,2001,H,cheboygan,mi
the daily reporter,the daily reportercoldwater,,1029,1995,G,coldwater,mi
detroit free press,detroit free pressdetroit,,225,1997,A,detroit,mi
the detroit news,the detroit newsdetroit,,226,1997,B,detroit,mi
dowagiac daily news,dowagiac daily newsdowagiac,,1030,2007,H,dowagiac,mi
the daily press,the daily pressescanaba,,1031,1994,F,escanaba,mi
the flint journal,the flint journalflint,,227,1997,C,flint,mi
grand haven tribune,grand haven tribunegrand haven,,1032,1998,F,grand haven,mi
the grand rapids press,the grand rapids pressgrand rapids,,228,1997,C,grand rapids,mi
the daily news,the daily newsgreenville,,1033,1994,G,greenville,mi
hillsdale daily news,hillsdale daily newshillsdale,,1034,1998,G,hillsdale,mi
the holland sentinel,the holland sentinelholland,,229,1997,F,holland,mi
the daily mining gazette,the daily mining gazettehoughton,,1035,1994,F,houghton,mi
livingston county daily press & argus,livingston county daily press & argushowell,,2096,2006,F,howell,mi
sentinel-standard,sentinel-standardionia,,1036,2001,H,ionia,mi
the daily news,the daily newsiron mountain,,1037,1996,F,iron mountain,mi
ironwood daily globe,ironwood daily globeironwood,,1038,2005,G,ironwood,mi
the jackson citizen patriot,the jackson citizen patriotjackson,,230,2000,E,jackson,mi
kalamazoo gazette,kalamazoo gazettekalamazoo,,231,1997,D,kalamazoo,mi
lansing state journal,lansing state journallansing,,1039,1998,D,lansing,mi
ludington daily news,ludington daily newsludington,,1040,1998,G,ludington,mi
manistee news-advocate,manistee news-advocatemanistee,,1041,2000,G,manistee,mi
the mining journal,the mining journalmarquette,,1042,1996,F,marquette,mi
the chronicle,the chroniclemarshall,,1043,1994,H,marshall,mi
midland daily news,midland daily newsmidland,,1045,1998,F,midland,mi
the monroe evening news,the monroe evening newsmonroe,,232,1998,F,monroe,mi
the macomb daily,the macomb dailymount clemens,,1046,1998,D,mount clemens,mi
the daily tribune,the daily tribunemount clemens,,1052,2011,F,mount clemens,mi
morning sun,morning sunmount pleasant,,1047,1998,F,mount pleasant,mi
the muskegon chronicle,the muskegon chroniclemuskegon,,233,1997,E,muskegon,mi
niles daily star,niles daily starniles,,1048,1999,H,niles,mi
dowagiac daily news,dowagiac daily newsniles,,2292,2016,H,niles,mi
the argus-press,the argus-pressowosso,,1049,2000,F,owosso,mi
petoskey news-review,petoskey news-reviewpetoskey,,1050,1997,F,petoskey,mi
the oakland press,the oakland presspontiac,,234,1994,D,pontiac,mi
times herald,times heraldport huron,,1051,1997,E,port huron,mi
the saginaw news,the saginaw newssaginaw,,1053,2003,E,saginaw,mi
the evening news,the evening newssault ste. marie,,1054,1994,G,sault ste. marie,mi
the daily tribune,the daily tribunesouth haven,,1055,1994,H,south haven,mi
the herald-palladium,the herald-palladiumst. joseph,,1025,1994,E,st. joseph,mi
sturgis journal,sturgis journalsturgis,,1056,2002,G,sturgis,mi
three rivers commercial,three rivers commercialthree rivers,,1057,2001,H,three rivers,mi
traverse city record-eagle,traverse city record-eagletraverse city,,235,1998,E,traverse city,mi
the press,the pressypsilanti,,1058,1994,F,ypsilanti,mi
albert lea tribune,albert lea tribunealbert lea,,1059,2001,G,albert lea,mn
austin daily herald,austin daily heraldaustin,,1060,1998,G,austin,mn
the pioneer,the pioneerbemidji,,1061,2003,G,bemidji,mn
the bemidji pioneer,the bemidji pioneerbemidji,,2367,2015,G,bemidji,mn
brainerd dispatch,brainerd dispatchbrainerd,,1062,2005,F,brainerd,mn
crookston daily times,crookston daily timescrookston,,1063,2002,H,crookston,mn
duluth news tribune,duluth news tribuneduluth,,236,2003,E,duluth,mn
sentinel,sentinelfairmont,,1064,2000,G,fairmont,mn
faribault daily news,faribault daily newsfaribault,,1065,1998,G,faribault,mn
daily journal,daily journalfergus falls,,1066,1999,G,fergus falls,mn
the daily tribune,the daily tribunehibbing,,1067,1994,F,hibbing,mn
the daily journal,the daily journalinternational falls,,1068,1994,H,international falls,mn
the free press,the free pressmankato,,238,1994,E,mankato,mn
